Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),Storage(TWh),LNG_sendout(GWh/d),corridor_BY,corridor_DE,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD,USD-EUR,VIX,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore,DE_price(EUR/MWh)
2022-01-03,30.5049991607666,3.815000057220459,26.81162918487599,598.9044,2414.0477272727276,185.831366,1633.829561,1002.623267,110.263745,0.0,4377.0786648,38.211306,594.481257,419.307953,9.7,9.3,8.8,0.0,0.0,0.0,1.1373459100723269,27.65999984741211,9748.058333333332,-1309.7479166666667,21835.483333333334,668.0583333333333,39139.5625,17659.3875,2051.6666666666665,467.7208333333333,813.6041666666666,677.3249999999999,20020.4125,4303.483333333333,-4236.966666666666,15225.866666666669,157259.97708333333,79155.67916666667,488.0,8816.762499999999,44.39166666666667,44.09583333333333,112306.04583333334,6001.512500000001,2714.045833333333,11384.795833333332,72521.55833333333,80.415
2022-01-04,32.744998931884766,3.7170000076293945,29.39544148029725,596.1655,2441.2954545454545,145.257356,1630.106176,992.261682,100.218496,0.0,4337.6960921,42.019034,585.03748,377.141637,11.9,13.3,5.800000000000001,0.0,0.0,0.0,1.1302244663238523,24.82999992370605,9988.720833333333,789.3395833333333,28723.204166666663,683.6166666666667,47697.90416666667,25627.0125,2056.391666666667,627.0500000000001,851.5708333333333,677.725,20481.341666666667,5559.120833333333,-4893.375,17500.933333333334,167147.77659574468,82691.04583333334,495.0875,7959.970833333333,37.80416666666667,37.208333333333336,131620.43829787234,4010.816666666667,2630.3250000000003,8467.449999999999,57096.10833333334,153.98375
2022-01-05,34.189998626708984,3.881999969482422,30.26670563904105,591.8799,2468.543181818182,322.441253,1653.068264,1021.097637,88.855191,0.0,4121.9827343,37.308653,599.056012,396.100202,14.4,15.9,4.699999999999999,0.0,0.0,0.0,1.1283625364303589,21.959999084472656,9877.316666666668,-425.4291666666666,27646.49583333333,820.7916666666666,43280.770833333336,23282.033333333336,2428.5291666666667,448.76666666666665,836.2458333333334,677.7666666666667,21431.254166666666,3698.6666666666665,-5649.325,18121.49583333333,176466.71956521738,83869.52083333333,496.6208333333333,9686.129166666668,42.13333333333333,42.10833333333333,129874.67173913044,5737.833333333333,2649.9166666666665,11461.754166666666,72101.81666666667,107.64083333333332
2022-01-06,34.06999969482422,3.812000036239624,31.998096672740985,587.5168,2495.7909090909093,156.593474,1639.129488,991.399612,71.280557,0.0,4098.366912,48.601266,584.606847,365.687176,17.8,16.6,8.7,0.0,0.0,0.0,1.1313496828079224,22.09000015258789,10032.295833333334,1600.5145833333331,26629.37083333333,845.4499999999999,51594.45,26563.704166666663,1730.4708333333335,736.8000000000001,884.8125,680.8458333333333,21690.44583333333,4697.0,-3699.45,17803.537500000002,173903.07555555555,84980.83333333333,498.44166666666666,8130.533333333333,36.34166666666667,35.9375,139859.60666666666,8443.420833333334,2801.0166666666664,6967.645833333333,48420.42083333334,195.30875
2022-01-07,33.95000076293945,3.9159998893737793,29.19376508011556,581.7404,2523.0386363636367,157.237995,1653.1828730000002,982.28867,76.739669,0.0,4318.6030078,47.779453,594.7556050000001,390.06888,17.7,14.2,10.7,0.0,0.0,0.0,1.1296881437301636,24.350000381469727,10021.7375,2239.00625,28827.095833333336,871.65,49495.15416666667,26668.42916666667,2015.8875,815.4041666666667,975.8291666666668,684.275,21224.65,4138.245833333333,-4150.400000000001,19072.825,173903.4404255319,83854.58333333333,499.2583333333334,9167.4625,38.725,38.29166666666666,134863.11276595746,6703.912499999999,2752.2208333333333,10976.991666666669,58773.06666666667,168.64958333333334
2022-01-10,33.26499938964844,4.078999996185303,28.15429432915292,564.0221,2550.2863636363636,165.18643400000002,1627.7492550000002,979.303595,82.295882,0.0,4222.9861699,70.462155,640.4019800000001,417.089457,15.4,13.3,12.3,0.0,0.0,0.0,1.1353960037231443,23.21999931335449,10187.633333333331,2460.7854166666666,32170.37083333333,881.7166666666667,75675.50416666667,31847.875,2117.320833333333,995.05,1028.2958333333331,678.3375,21200.983333333334,6299.183333333333,-3669.316666666666,20618.7,168191.31458333333,84543.14583333333,494.7083333333333,9215.404166666667,28.825,29.3125,146836.93333333332,5134.166666666667,2585.6375000000003,2455.545833333333,35119.020833333336,262.13625
2022-01-11,32.915000915527344,4.249000072479248,26.146299668105986,555.9013,2577.534090909091,161.316145,1628.02794,969.598263,82.37871,0.0,4234.188739,54.264753,656.2344889999999,368.082979,20.4,9.5,10.5,0.0,0.0,0.0,1.1330417394638062,22.86000061035156,9957.7375,1471.9020833333334,32702.62083333333,910.9583333333334,80375.37083333333,31841.908333333336,2360.05,1075.2541666666666,968.25,667.2083333333334,20234.18333333333,3671.1625,-4761.358333333333,17396.1375,182316.07291666663,85403.2375,493.1791666666666,9525.525,30.041666666666668,29.308333333333334,153979.13125,7464.5,2145.366666666667,5623.912499999999,43585.46666666667,254.8395833333333
2022-01-12,33.0,4.85699987411499,25.03590079520374,547.6744,2604.7818181818184,150.680029,1627.870952,976.207764,81.956018,0.0,4254.3893649,55.375401,696.0055179999999,490.386276,18.0,14.1,11.6,0.0,0.0,0.0,1.1366478204727173,21.440000534057617,9939.375,-700.7083333333334,33207.833333333336,912.8708333333334,80671.1125,31353.61666666667,2363.0666666666666,883.6374999999999,744.0541666666667,664.0958333333333,19561.93333333333,4659.308333333333,-5324.329166666666,14805.004166666666,193837.64444444445,86473.19583333333,493.2458333333333,8920.279166666667,30.425,29.96666666666667,160841.1511111111,8173.595833333333,2145.4791666666665,3798.529166666666,49896.3125,232.3358333333333
2022-01-13,32.60499954223633,4.269999980926514,28.657773392589483,539.756,2632.0295454545458,140.344338,1627.239925,874.0999499999999,82.19975,0.0,4089.075025,19.298857,674.4245530000001,452.663816,14.4,16.4,13.2,0.0,0.0,0.0,1.144164800643921,19.959999084472656,9501.691666666668,-1537.7083333333333,31698.3625,945.9666666666668,78564.22916666667,27713.291666666668,2376.708333333333,533.8291666666667,574.2583333333333,666.4708333333333,19152.6875,3555.554166666667,-4262.379166666667,14594.370833333334,183686.55625,86730.7375,495.69166666666666,8496.824999999999,33.85,33.6,145147.07291666666,8678.791666666666,2155.4166666666665,7893.958333333333,60506.208333333336,177.94375
2022-01-14,32.845001220703125,4.26200008392334,29.20355631144099,531.8066,2659.2772727272727,132.102914,1625.967265,961.999728,93.171664,0.0,4081.4817066,35.285248,722.4480470000001,390.567123,13.2,17.6,13.7,0.0,0.0,0.0,1.1457115411758425,23.90999984741211,9808.891666666666,936.8125,31230.154166666664,937.4541666666668,82878.34166666666,28636.654166666664,2348.054166666667,441.7166666666667,624.3125,681.6666666666666,19460.87083333333,4751.670833333334,-2880.741666666667,14906.595833333333,182554.4625,87336.46666666666,496.7833333333333,8503.329166666666,31.554166666666664,31.17083333333333,149238.5875,9833.741666666669,2481.9083333333333,5472.775000000001,51325.24583333333,183.01083333333327
