Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),Av_storage(bcm),Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD,USD-EUR,VIX,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore,Production(bcm),Electricity(bcm),Total(bcm),Non_power(bcm),Stock_change(bcm),Distribution_loss(bcm),Total_adj(bcm),bcm_BY,bcm_DZ,bcm_LY,bcm_MA,bcm_NO,bcm_RU-Baltic,bcm_TR,bcm_UA,bcm_DE,bcm_ES,Days,LNG_sendout(bcm),CH_RS_net_exports
2015-01-01,8.99428575379508,2.929350030422211,6.783317242202431,71.27325714285715,472.4,414.2,315.8,0.0,0.0,0.0,1.1659787622365083,17.790000915527344,8165.1676075268815,1345.764314516129,34281.741397849466,319.1009408602151,27479.109879032258,34424.006182795696,593.8885080645161,1066.1779569892471,952.025,660.9057795698925,10901.563373655914,2380.6237903225806,-3161.010752688172,16844.34946236559,206354.49274193548,64247.46700268817,397.3018817204301,10571.581607469689,29.05208333333333,25.66323924731183,181589.98091397848,1968.7040322580644,2396.123924731183,2768.3981854838707,20027.40940860215,17.469,5.798,55.776,49.978,-15.741,0.364,56.17347873704264,1.979809523809524,1.3123809523809524,0.5236190476190477,0.9563809523809523,11.564285714285715,0.0,0.031619047619047616,3.537809523809524,0.0,0.0,31,3.5428571428571427,0.8029999999999999
2015-02-01,7.169999949137369,2.754947361193205,7.494766767740529,53.53064761904763,470.7,396.3,284.5,0.0,0.0,0.0,1.1355303823947906,19.920000076293945,8498.351785714285,1448.7319196428573,35011.374404761904,332.5627976190476,29126.92001488095,36816.92827380953,680.612574404762,1149.7611607142858,998.6092261904762,677.2617559523809,10400.822098214285,2079.211086309524,-3493.7456845238094,21931.154166666667,212120.2645833333,58051.90052083333,443.646130952381,10720.96175595238,26.265104166666667,24.465401785714285,188171.76443452385,3260.8292410714284,2367.9693452380952,2329.3380208333333,18358.33645833333,15.724,6.593999999999999,51.439,44.845,-15.736,0.336,51.80648566077286,1.3593333333333333,1.001047619047619,0.5752380952380952,0.5920952380952381,11.151238095238096,0.0,0.047523809523809524,3.1646666666666667,0.0,0.0,28,3.2,0.751
2015-03-01,7.4636110994550915,2.746909098191695,6.948688884228896,35.2886,383.9,357.5,236.7,0.0,0.0,0.0,1.0845803510059009,21.1200008392334,8462.45564516129,1397.2081989247313,33049.321774193544,365.4756720430107,24266.697782258063,32421.612365591394,642.135819892473,735.9427419354838,863.0595430107527,668.8549731182795,10686.967338709675,1891.415456989248,-3764.953629032258,19478.66612903226,195933.1438286433,52803.48655913978,437.9825268817205,10906.022849462364,29.47083333333333,27.28225377487989,170661.28072237474,5294.859610215054,2152.4747311827955,2503.8171370967743,17456.523655913978,13.854,5.542,45.44,39.898,-7.882,0.364,45.76103099009354,2.9956190476190474,1.0928571428571427,0.6771428571428572,0.43466666666666665,9.606857142857143,0.0,0.06847619047619048,3.6862857142857144,0.0,0.0,31,4.325757714285714,0.583
2015-04-01,7.193611145019531,2.5913333211626326,6.999473288396421,26.85222857142857,280.0,260.7,141.2,0.0,0.0,0.0,1.0796655904163013,19.309999465942383,8102.873888888889,1819.6625,29976.13875,312.9893055555556,20709.768819444445,27873.55423611111,671.8030555555556,718.5209722222222,679.0915277777779,680.6641666666667,11666.56472222222,1739.7947916666667,-3374.878472222222,15387.405277777778,176322.13520833335,47907.31736111111,448.97527777777776,9698.1975,28.480694444444445,26.75,152638.7448611111,8054.135486111111,2258.349861111112,1776.31375,13852.941041666663,10.318,4.696,33.304,28.608,0.455,0.3,33.541125551437375,3.592952380952381,1.3722857142857143,0.6954285714285714,0.9096190476190477,8.403809523809525,0.0,0.05276190476190476,3.212190476190476,0.0,0.0,30,3.614704761904762,0.41800000000000004
2015-05-01,7.350666681925456,2.8559500098228456,6.711971176676845,28.54179047619048,145.4,190.4,19.0,0.0,0.0,0.3000000000000007,1.1165892566953386,17.010000228881836,7962.635215053763,3168.5403225806454,27145.074462365592,338.0255376344086,18942.049196290114,20925.54946082152,645.2953355270996,830.2424731182796,637.2815860215054,676.8408602150537,13670.88236157242,1932.579912960252,-3629.597580645161,16942.59180107527,168314.63138440865,44736.94720027198,460.64180107526886,10255.764316452312,37.81711351916096,34.60763080976447,142421.16686827957,8654.325841827185,2209.8763440860216,2435.4408304104386,15220.220485865371,9.427,4.337,26.775,22.438,7.264,0.295,26.96150209089202,4.039142857142857,1.373047619047619,0.6823809523809524,0.7160952380952381,8.941619047619048,0.04780952380952381,0.05342857142857143,3.1889523809523808,0.0,0.0,31,3.6944285714285714,0.35000000000000003
2015-06-01,7.4319443172878685,2.769227266311645,6.734622497030962,39.45303809523809,55.2,80.70000000000002,0.0,0.5,0.0,31.9,1.121451047333804,17.549999237060547,7890.5001388888895,3691.3652777777775,31511.141944444444,331.8118055555555,21019.566062352245,22666.1399497636,579.2000856973995,548.3623611111111,489.51152777777776,646.6841666666667,11987.907693557918,1997.4895803782504,-2934.8747222222223,16755.96,171500.5013888889,45845.06505614657,440.2363888888889,9885.846387411348,32.4970079787234,30.00381944444444,149031.541875,9511.799236111112,2229.6497222222224,1945.9259027777773,11011.234027777777,9.066,4.5440000000000005,23.817,19.273,8.363,0.297,23.984528971440245,3.7773333333333334,1.3351428571428572,0.6799047619047619,0.6291428571428571,8.22704761904762,0.4776190476190476,0.021238095238095236,2.5876190476190475,0.0,0.0,30,3.245076190476191,0.278
2015-07-01,7.645277712080214,2.808090914379467,6.7243990267299525,49.63389523809524,17.499999999999993,35.900000000000006,0.0,25.300000000000004,3.6999999999999993,173.0,1.0998873192331065,19.600000381469727,7832.512634408602,3159.403629032258,34364.48454301075,186.09193548387097,25574.904032258062,23736.594018817203,837.6125,608.9764784946236,402.67513440860216,618.9172043010753,9190.920698924732,1996.6551075268817,-2876.288575268817,15032.328225806452,177118.47251344085,46446.98158602151,437.4657258064516,10539.384274193548,31.24811827956989,28.60114247311828,153232.6237903226,9533.582795698923,2154.4466397849465,2230.9153225806454,12121.348454301076,8.087,6.263999999999999,24.164,17.9,10.409,0.328,24.337466079958475,4.091428571428572,1.2911428571428571,0.6069523809523809,0.9317142857142857,9.634952380952381,0.5476190476190477,0.07314285714285715,2.9395238095238096,0.0,0.0,31,3.2641619047619046,0.262
2015-08-01,7.905312478542328,2.7534762110028947,6.387315363312449,62.28037142857143,0.3000000000000007,38.9,0.0,48.0,0.0,118.2,1.1136188052949452,20.559999465942383,7793.289516129033,2221.792943548387,34402.16142473118,330.4284946236559,22765.29805107527,22047.03642473118,1049.863508064516,731.3752688172043,496.564247311828,660.824865591398,8077.675470430107,1903.0064516129032,-2890.828225806452,14292.359677419356,166639.06391129032,46168.74536290322,438.9924731182796,10180.220900537632,29.53252688172043,27.10719086021505,145513.99307795698,8516.961693548386,2233.824327956989,1951.87748655914,10656.23313172043,8.111,5.94,22.277,16.337,9.756,0.375,22.434448700862536,2.586952380952381,1.1418095238095238,0.5755238095238095,0.9140952380952381,9.845809523809525,0.5475238095238095,0.07361904761904763,2.6947619047619047,0.0,0.0,31,3.3946476190476194,0.256
2015-09-01,7.168529426350313,2.6389047418321883,6.312378915031748,73.88800952380953,99.6,137.1,0.3000000000000007,1.0,0.0,29.9,1.1235178329727866,21.479999542236328,8073.437777777778,2357.179375,35642.20208333333,716.9195833333334,25473.879620271862,24852.452697990542,1080.0788031914894,896.6563888888888,729.4902777777777,684.37875,7629.41394503546,1801.5825768321515,-2912.034722222222,13148.09486111111,173960.03354166666,46216.36490691489,447.5761111111111,11414.393486997637,26.677749704491724,24.80922281323877,152250.249375,6740.153175236407,2450.007777777778,2176.212857565012,12813.198055555556,9.18,5.993,26.418,20.425,8.748,0.303,26.60427144063304,3.735238095238095,1.105047619047619,0.6141904761904762,0.7959047619047619,9.93504761904762,0.36866666666666664,0.062,3.2982857142857145,0.0,0.0,30,3.3906190476190474,0.31300000000000006
2015-10-01,6.86941177704755,2.385045463388616,5.99998698748595,82.1799238095238,280.4,200.4,49.2,0.0,0.0,0.0,1.1229816566814077,22.38999938964844,8401.367607526881,1509.8690860215054,35445.243817204304,987.4564516129032,28123.92617250057,29714.94080444978,993.9480968313886,828.4928763440861,812.7439516129032,685.1922043010752,8307.18191203386,2096.001522820865,-3245.6408602150536,14532.80510752688,182247.3959005376,50082.65652882635,433.3344086021505,6760.435056337223,24.44049845573095,22.713760835303383,163842.38823924732,4127.372889975597,2517.573252688172,2286.17032080124,12376.726832786802,10.836,6.765000000000001,36.201,29.436,1.964,0.349,36.461617707444745,3.7626666666666666,0.9800952380952381,0.592,0.8997142857142857,11.038285714285715,0.023333333333333334,0.045714285714285714,3.658095238095238,0.0,0.0,31,3.8966190476190476,0.463
