Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),Storage(TWh),LNG_sendout(GWh/d),corridor_BY,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,point_Almería,point_Dornum / NETRA (OGE),point_Dunkerque,point_Easington,point_Emden (EPT1) (GTS),point_Emden (EPT1) (GUD),point_Emden (EPT1) (OGE),point_GCP GAZ-SYSTEM/UA TSO,point_Gela,point_Imatra,point_Isaccea (RO) - Orlovka (UA) II,point_Kipi (TR) / Kipi (GR),point_Kipoi,point_Kotlovka,point_Luhamaa,point_Mazara del Vallo,point_Narva,point_St. Fergus,point_Strandzha 2 (BG) / Malkoclar (TR),point_Tarifa,point_Tieterowka,point_Uzhgorod (UA) - Velké Kapušany (SK),point_VIP Bereg (HU) / VIP Bereg (UA),point_VIP Mediesu Aurit - Isaccea (RO-UA),point_Värska,point_Wysokoje,point_Zeebrugge ZPT,point_Uzhhorod (UA) - Velké Kapušany (SK),Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD,USD-EUR,VIX,Battery,Battery Consumption,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore,DE_price(EUR/MWh),IT_price(EUR/MWh)
2021-01-04,14.93000030517578,2.5810000896453857,7.125295595351242,805.1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,14.9,10.7,0.0,0.0,0.0,1.2250697612762451,23.239999771118164,,,7795.829166666666,4205.837500000001,26300.766666666663,814.7333333333332,47917.42291666666,13665.135416666666,1150.0833333333333,332.40833333333336,581.1166666666667,653.7416666666667,10995.529166666667,3062.925,-2895.475,25881.066666666666,211105.16666666663,52144.45208333334,521.3916666666667,4917.283333333334,51.26041666666666,45.84583333333333,180034.25,1738.9625,2614.758333333333,10491.5375,18840.404166666667,48.36000000000001,59.1075
2021-01-05,15.104999542236328,2.70199990272522,6.465123878724215,795.9524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,15.4,10.4,0.0,0.0,0.0,1.2251598834991455,21.57999992370605,,,7000.058333333333,4351.039583333333,27888.075,962.7208333333332,52074.21666666667,16065.539583333331,1165.1875,351.2916666666667,610.0458333333333,657.1416666666667,11527.847916666666,3349.38125,-2516.6916666666666,25777.545833333334,216279.74166666667,52252.68333333333,530.6791666666667,4547.785416666667,44.65208333333334,40.270833333333336,187283.6833333333,2077.641666666667,2687.2791666666667,9884.952083333334,17033.45625,55.623333333333335,57.580000000000005
2021-01-06,15.550000190734863,2.7160000801086426,6.332190091295613,787.1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,15.6,10.4,0.0,0.0,0.0,1.230027437210083,21.31999969482422,,,7424.608333333334,4368.495833333333,27818.641666666663,967.3458333333332,53519.97083333333,17894.135416666668,1229.4770833333334,367.2375,599.5583333333333,652.9125,11235.25,2716.59375,-3609.2125,25444.8375,209432.32291666663,52590.16458333333,528.1875,3904.9,35.81666666666667,32.760416666666664,188921.1833333333,1992.9125,2703.170833333333,6210.572916666667,12307.65625,52.95875,58.17583333333334
2021-01-07,17.25,2.7290000915527344,6.982564476119247,777.2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,18.8,12.6,0.0,0.0,0.0,1.2341108322143557,21.90999984741211,,,7776.977083333334,5591.316666666667,28242.220833333336,960.5916666666668,60179.35833333334,21014.854166666668,1214.9833333333331,491.6041666666667,629.35,653.2,11937.116666666669,3774.435416666666,-3460.7666666666664,26977.454166666663,221448.6520833333,52655.88541666666,527.8791666666667,4636.0,33.62291666666667,31.289583333333336,203111.7708333333,1750.5166666666669,2772.691666666667,4006.758333333333,12579.610416666668,70.90625,69.64541666666666
2021-01-08,17.25,2.700000047683716,7.236268453242252,767.2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,18.5,12.0,0.0,0.0,0.0,1.227144479751587,23.190000534057617,,,7909.360416666666,5262.375,28770.9125,986.2458333333334,59084.11666666667,20487.5375,1288.86875,688.8791666666666,678.9833333333333,656.2958333333333,11728.16875,3698.154166666666,-3755.4625,26868.345833333336,221069.37291666667,52593.14375,532.6166666666667,4700.087500000001,32.614583333333336,30.5125,201186.3270833333,1715.9916666666668,2759.975,2347.15,15819.897916666669,78.51125,66.39291666666666
2021-01-11,19.700000762939453,2.746999979019165,7.902104167348475,739.7254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,13.0,13.4,0.0,0.0,0.0,1.218620538711548,23.020000457763672,,,6358.422916666666,2602.4083333333333,25782.2,934.2208333333332,45487.24583333333,14963.329166666668,1150.3666666666666,416.2916666666667,727.5083333333333,657.6750000000001,10417.647916666669,2863.245833333333,-4009.925,23889.341666666664,222401.86666666667,52388.35416666666,518.9458333333333,5045.645833333333,60.88541666666666,57.1,172370.48333333334,2757.460416666667,2690.2833333333333,10485.214583333332,36788.71666666667,47.071666666666665,61.28708333333333
2021-01-12,19.700000762939453,2.753000020980835,9.321898085171153,729.9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,11.9,13.3,0.0,0.0,0.0,1.2160701751708984,37.209999084472656,,,6468.1875,3146.177083333333,25538.920833333334,838.1625,50515.81458333333,16651.2375,1207.1645833333334,540.7125,807.9499999999999,650.3874999999999,10629.335416666669,2954.520833333333,-3238.55,24892.70833333333,226119.4625,51994.89375,520.0749999999999,4947.604166666667,44.89166666666667,40.485416666666666,181793.96666666667,2880.164583333333,2683.6041666666665,8072.070833333334,33373.24166666666,46.751666666666665,58.54
2021-01-13,18.56999969482422,2.726999998092652,7.693177947265742,720.5865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,13.1,13.1,0.0,0.0,0.0,1.220889449119568,30.209999084472656,,,6766.710416666666,3855.3229166666665,25818.14583333333,832.1333333333333,50422.552083333336,16980.827083333334,1098.5916666666667,506.9958333333333,831.7041666666668,642.1666666666666,11113.347916666666,2693.0750000000003,-3907.925,25843.658333333336,225421.2,51369.13333333333,525.4041666666667,4964.508333333333,37.35833333333333,33.9625,182717.91458333333,3278.277083333333,2636.1,6075.852083333334,33349.177083333336,42.585,53.6175
2021-01-14,18.56999969482422,2.66599988937378,7.605121222854878,710.5084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,12.9,9.7,0.0,0.0,0.0,1.2162491083145142,33.09000015258789,,,6699.222916666667,2644.5875,29352.345833333336,884.3833333333333,52439.506250000006,19154.34791666667,1187.3354166666666,870.0875,939.5416666666666,646.2624999999999,11480.114583333334,2758.714583333333,-3744.158333333333,26560.975,223742.84583333333,52114.520833333336,527.3125,4807.84375,36.018750000000004,32.83541666666667,191652.0208333333,2808.039583333333,2634.4,4415.95625,24866.83125,71.06375,46.86875
2021-01-15,18.30900001525879,2.736999988555908,7.19388759628151,699.7224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,16.3,11.2,0.0,0.0,0.0,1.2151259183883667,30.239999771118164,,,7333.141666666666,4228.14375,31380.94583333333,849.6291666666666,56715.88958333334,20014.079166666663,1101.3916666666669,863.9499999999999,936.8041666666668,651.0749999999999,11956.41875,4149.15625,-3360.116666666667,26769.74166666667,225630.825,52479.66875,526.6041666666666,4650.412499999999,34.28125,30.44375,200663.87708333333,2836.36875,2635.4125,1914.05625,20216.535416666666,73.28416666666666,60.27666666666666
