date,corridor_ES,point_Tarifa
2023-07-14,30.005086,30.005086
2023-07-15,30.024585,30.024585
2023-07-16,30.252696,30.252696
2023-07-17,29.450161,29.450161
2023-07-18,29.81504,29.81504
2023-07-19,29.832466,29.832466
2023-07-20,29.72536,29.72536
2023-07-21,29.878051,29.878051
2023-07-22,29.824387,29.824387
2023-07-23,30.456712,30.456712
2023-07-24,29.634247,29.634247
2023-07-25,29.823991,29.823991
2023-07-26,29.745405,29.745405
2023-07-27,29.691892,29.691892
2023-07-28,29.883359,29.883359
2023-07-29,29.890565,29.890565
2023-07-30,30.036342,30.036342
2023-07-31,30.031522,30.031522
2023-09-01,25.842255,25.842255
2023-09-02,25.873371,25.873371
2023-09-03,25.490286,25.490286
2023-09-04,30.071776,30.071776
2023-09-05,30.119317,30.119317
2023-09-06,30.176927,30.176927
2023-09-07,28.241108,28.241108
2023-09-08,28.294609,28.294609
2023-09-09,27.98876,27.98876
2023-09-10,28.11874,28.11874
2023-09-11,28.189982,28.189982
2023-09-12,27.267465,27.267465
2023-09-13,27.669839,27.669839
2023-09-14,27.721163,27.721163
2023-09-15,28.028979,28.028979
2023-09-16,31.795501,31.795501
2023-09-17,32.112816,32.112816
2023-09-18,32.144816,32.144816
2023-09-19,31.233556,31.233556
2023-09-20,31.936331,31.936331
2023-09-21,32.015278,32.015278
2023-09-22,31.889733,31.889733
2023-09-23,32.06105,32.06105
2023-09-24,32.190145,32.190145
2023-09-25,31.912234,31.912234
2023-09-26,27.807164,27.807164
2023-09-27,27.947622,27.947622
2023-09-28,27.969425,27.969425
2023-09-29,27.235476,27.235476
2023-09-30,27.71504,27.71504
2023-11-01,20.57317,20.57317
2023-11-02,19.405732,19.405732
2023-11-03,19.678382,19.678382
2023-11-04,20.113151,20.113151
2023-11-05,20.190318,20.190318
2023-11-06,19.668359,19.668359
2023-11-07,19.852678,19.852678
2023-11-08,10.103296,10.103296
2023-11-09,9.991184,9.991184
2023-11-10,10.113121,10.113121
2023-11-11,19.760239,19.760239
2023-11-12,19.636999,19.636999
2023-11-13,19.667439,19.667439
2023-11-14,20.014706,20.014706
2023-11-15,20.092908,20.092908
2023-11-16,20.171122,20.171122
2023-11-17,19.772229,19.772229
2023-11-18,20.010119,20.010119
2023-11-19,19.566759,19.566759
2023-11-20,20.005696,20.005696
2023-11-21,19.781437,19.781437
2023-11-22,19.948423,19.948423
2023-11-23,20.180889,20.180889
2023-11-24,20.055227,20.055227
2023-11-25,20.137178,20.137178
2023-11-26,20.113373,20.113373
2023-11-27,19.948912,19.948912
2023-11-28,19.573045,19.573045
2023-11-29,19.879545,19.879545
2023-11-30,19.775687,19.775687
2023-12-01,25.115501,25.115501
2023-12-02,24.98282,24.98282
2023-12-03,25.190793,25.190793
2023-12-04,24.761308,24.761308
2023-12-05,24.947897,24.947897
2023-12-06,25.268297,25.268297
2023-12-07,23.895703,23.895703
2023-12-08,24.739202,24.739202
2023-12-09,23.788876,23.788876
2023-12-10,24.790748,24.790748
2023-12-11,25.116583,25.116583
2023-12-12,25.003552,25.003552
2023-12-13,30.781069,30.781069
2023-12-14,30.797134,30.797134
2023-12-15,30.649669,30.649669
2023-12-16,26.297908,26.297908
2023-12-17,25.852708,25.852708
2023-12-18,26.266327,26.266327
2023-12-19,25.488679,25.488679
