date,corridor_ES,point_Tarifa
2024-06-12,25.934752,25.934752
2024-06-13,26.046003,26.046003
2024-06-14,25.305722,25.305722
2024-06-15,26.126173,26.126173
2024-06-16,25.859693,25.859693
2024-06-17,25.865036,25.865036
2024-06-18,25.359118,25.359118
2024-06-19,25.746335,25.746335
2024-06-20,26.222686,26.222686
2024-06-21,25.79752,25.79752
2024-06-22,25.599522,25.599522
2024-06-23,26.030579,26.030579
2024-06-24,25.980594,25.980594
2024-06-25,25.995366,25.995366
2024-06-26,25.789197,25.789197
2024-06-27,25.830405,25.830405
2024-06-28,25.902694,25.902694
2024-06-29,26.716311,26.716311
2024-06-30,25.757965,25.757965
2024-09-01,29.41319,29.41319
2024-09-02,29.560666,29.560666
2024-09-03,30.097933,30.097933
2024-09-04,29.722845,29.722845
2024-09-05,29.700495,29.700495
2024-09-06,29.925627,29.925627
2024-09-07,29.708923,29.708923
2024-09-08,29.325535,29.325535
2024-09-09,30.171945,30.171945
2024-09-10,29.368839,29.368839
2024-09-11,29.309669,29.309669
2024-09-12,29.651022,29.651022
2024-09-13,29.901298,29.901298
2024-09-14,29.259265,29.259265
2024-09-15,29.752715,29.752715
2024-09-16,29.752576,29.752576
2024-09-17,29.851859,29.851859
2024-09-18,29.855817,29.855817
2024-09-19,29.948384,29.948384
2024-09-20,29.921436,29.921436
2024-09-21,29.011724,29.011724
2024-09-22,28.004812,28.004812
2024-09-23,28.004812,28.004812
2024-09-24,21.846818,21.846818
2024-09-25,30.072707,30.072707
2024-09-26,30.070228,30.070228
2024-09-27,29.900518,29.900518
2024-09-28,30.670343,30.670343
2024-09-29,30.120935,30.120935
2024-09-30,30.236877,30.236877
2024-11-01,32.484586,32.484586
2024-11-02,31.213849,31.213849
2024-11-03,31.826966,31.826966
2024-11-04,31.795897,31.795897
2024-11-05,31.820878,31.820878
2024-11-06,31.688069,31.688069
2024-11-07,31.866591,31.866591
2024-11-08,31.911874,31.911874
2024-11-09,31.862179,31.862179
2024-11-10,32.083411,32.083411
2024-11-11,32.40799,32.40799
2024-11-12,32.481466,32.481466
2024-11-13,32.093597,32.093597
2024-11-14,32.409596,32.409596
2024-11-15,32.325096,32.325096
2024-11-16,32.109545,32.109545
2024-11-17,30.523914,30.523914
2024-11-18,32.535328,32.535328
2024-11-19,32.850955,32.850955
2024-11-20,32.329217,32.329217
2024-11-21,31.897753,31.897753
2024-11-22,19.699766,19.699766
2024-11-23,32.330509,32.330509
2024-11-24,32.194231,32.194231
2024-11-25,31.892282,31.892282
2024-11-26,31.598167,31.598167
2024-11-27,32.645554,32.645554
2024-11-28,32.633273,32.633273
2024-11-29,32.855448,32.855448
2024-11-30,19.599492,19.599492
2024-12-01,0.427972,0.427972
2024-12-02,0.112624,0.112624
2024-12-03,0.0,0.0
2024-12-04,0.0,0.0
2024-12-05,0.0,0.0
2024-12-06,0.0,0.0
2024-12-07,0.0,0.0
2024-12-08,0.0,0.0
2024-12-09,0.0,0.0
2024-12-10,0.0,0.0
2024-12-11,0.0,0.0
2024-12-12,0.0,0.0
2024-12-13,0.0,0.0
2024-12-14,0.0,0.0
2024-12-15,0.0,0.0
2024-12-16,0.0,0.0
2024-12-17,25.829136,25.829136
2024-12-18,30.532575,30.532575
2024-12-19,32.329834,32.329834
2024-12-20,25.881647,25.881647
2024-12-21,30.773829,30.773829
2024-12-22,31.648805,31.648805
2024-12-23,31.703516,31.703516
2024-12-24,25.493231,25.493231
2024-12-25,27.082633,27.082633
2024-12-26,29.212469,29.212469
2024-12-27,24.978431,24.978431
2024-12-28,24.621317,24.621317
2024-12-29,24.679264,24.679264
2024-12-30,25.015868,25.015868
2024-12-31,32.69157,32.69157
