Date,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2015-01-01,8165.1676075268815,1065.280309139785,34281.741397849466,319.100940860215,27479.109879032258,34424.006182795696,593.8885080645161,1066.1779569892471,952.0250000000001,660.9057795698925,10901.563373655914,2380.6237903225806,-3161.010752688172,16844.349462365593,206354.4927419355,64247.46700268817,397.3018817204301,10571.581607469687,29.052083333333332,25.66323924731183,181589.98091397848,1968.7040322580644,2396.1239247311833,2768.3981854838707,20027.40940860215
2015-02-01,8498.351785714285,1245.5860863095238,35011.374404761904,332.5627976190476,29126.92001488095,36816.92827380953,680.612574404762,1149.7611607142858,998.6092261904762,677.2617559523809,10400.822098214285,2079.2110863095236,-3493.7456845238094,21931.154166666667,212120.26458333334,58051.90052083333,443.646130952381,10720.961755952381,26.265104166666667,24.465401785714285,188171.76443452382,3260.8292410714284,2367.9693452380952,2329.3380208333333,18358.336458333335
2015-03-01,8462.45564516129,1115.4495295698925,33049.321774193544,365.4756720430107,24266.697782258063,32421.6123655914,642.135819892473,735.9427419354838,863.0595430107527,668.8549731182795,10686.967338709677,1891.4154569892473,-3764.953629032258,19478.66612903226,195933.14382864334,52803.48655913978,437.98252688172045,10906.022849462364,29.47083333333333,27.28225377487989,170661.28072237477,5294.859610215054,2152.474731182796,2503.8171370967743,17456.52365591398
2015-04-01,8102.873888888889,1640.6452083333331,29976.13875,312.9893055555556,20709.768819444445,27873.55423611111,671.8030555555556,718.5209722222222,679.0915277777779,680.6641666666667,11666.564722222221,1739.7947916666667,-3374.878472222222,15387.405277777778,176322.13520833335,47907.317361111105,448.97527777777776,9698.1975,28.480694444444445,26.75,152638.7448611111,8054.135486111111,2258.3498611111113,1776.31375,13852.941041666667
2015-05-01,7962.635215053763,2961.823252688172,27145.074462365592,338.0255376344086,18942.049196290114,20925.549460821516,645.2953355270996,830.2424731182796,637.2815860215054,676.8408602150537,13670.88236157242,1932.5799129602515,-3629.597580645161,16942.59180107527,168314.63138440863,44736.94720027198,460.64180107526886,10255.764316452312,37.817113519160955,34.60763080976447,142421.16686827957,8654.325841827185,2209.8763440860216,2435.4408304104386,15220.220485865371
2015-06-01,7890.5001388888895,3420.4592361111113,31511.141944444444,331.8118055555555,21019.566062352245,22666.139949763594,579.2000856973995,548.3623611111111,489.51152777777776,646.6841666666667,11987.90769355792,1997.4895803782506,-2934.8747222222223,16755.96,171500.5013888889,45845.06505614657,440.2363888888889,9885.846387411348,32.4970079787234,30.003819444444446,149031.541875,9511.79923611111,2229.6497222222224,1945.9259027777778,11011.234027777778
2015-07-01,7832.512634408602,2840.867674731183,34364.48454301075,186.09193548387097,25574.904032258066,23736.594018817203,837.6125,608.9764784946236,402.67513440860216,618.9172043010753,9190.920698924732,1996.6551075268817,-2876.288575268817,15032.328225806452,177118.47251344085,46446.98158602151,437.4657258064516,10539.384274193548,31.24811827956989,28.60114247311828,153232.6237903226,9533.582795698925,2154.4466397849465,2230.9153225806454,12121.348454301076
2015-08-01,7793.289516129033,1950.5663978494624,34402.16142473118,330.4284946236559,22765.29805107527,22047.03642473118,1049.863508064516,731.3752688172042,496.56424731182796,660.824865591398,8077.675470430107,1903.0064516129032,-2890.828225806452,14292.359677419356,166639.06391129032,46168.745362903224,438.9924731182796,10180.220900537633,29.53252688172043,27.107190860215052,145513.99307795698,8516.961693548386,2233.8243279569892,1951.87748655914,10656.23313172043
2015-09-01,8073.437777777778,2142.282152777778,35642.20208333333,716.9195833333334,25473.879620271866,24852.452697990542,1080.0788031914894,896.6563888888888,729.4902777777777,684.37875,7629.4139450354605,1801.5825768321513,-2912.034722222222,13148.09486111111,173960.03354166666,46216.36490691489,447.5761111111111,11414.393486997637,26.677749704491724,24.80922281323877,152250.249375,6740.153175236407,2450.007777777778,2176.2128575650117,12813.198055555555
2015-10-01,8401.367607526881,1335.7467741935484,35445.243817204304,987.4564516129033,28123.926172500574,29714.940804449787,993.9480968313886,828.4928763440861,812.7439516129032,685.1922043010752,8307.18191203386,2096.001522820865,-3245.6408602150536,14532.805107526881,182247.39590053764,50082.65652882635,433.3344086021505,6760.435056337223,24.440498455730953,22.713760835303386,163842.38823924732,4127.372889975597,2517.573252688172,2286.170320801241,12376.726832786802
2015-11-01,8455.669305555555,1463.183611111111,34659.730833333335,999.4679166666666,30338.138541666667,26407.74527777778,890.1467361111112,829.78125,838.67,682.0758333333334,7476.069375,1997.907777777778,-3635.3815277777776,13748.609999999999,191586.30423611111,51519.031180555554,435.34666666666664,6351.9795138888885,33.57743055555555,30.761666666666667,164366.4363888889,2944.6682638888888,2352.681944444444,4031.85375,20243.344375
2015-12-01,8567.41451612903,727.7736559139785,33995.17352150538,949.4305107526882,28950.36897449096,24346.19909774651,875.8104152367879,782.0330645161291,800.0954301075268,694.3993279569892,7410.081883436284,1960.1896019217572,-4208.922715053764,11760.910752688173,191311.27997311827,55468.86287748798,451.72661290322577,6667.893055078929,37.212274079158085,33.5471516815374,162863.19428763443,2133.620581674674,2196.143817204301,4655.038628174331,21675.269017387323
2016-01-01,8491.75,827.9721774193548,35518.88978494624,950.2971774193549,34723.02405913979,25886.1563844086,1181.774193548387,1197.2877688172043,1032.5389784946235,697.5809139784946,9189.440188172042,2286.6565860215055,-4734.339247311827,18150.999193548385,207722.0369623656,57619.61108870968,439.5525537634408,11525.86196236559,32.78622311827957,29.741935483870968,180474.1052419355,2041.2614247311826,2240.9451612903226,4065.8789650537633,21140.791935483874
2016-02-01,8550.48577586207,2014.9249281609195,32050.923994252877,902.0262931034483,30685.473706896555,24142.543031609195,1084.8836925287355,833.8492816091954,815.5801724137931,694.5989942528736,11683.363864942528,2377.5295977011497,-4167.380459770115,20882.929166666665,206460.7262518342,56137.05028735632,443.24568965517244,10723.801795977011,33.93031609195402,30.856762044509658,176264.0740584495,3429.291954022988,2293.564224137931,3441.827801724138,23302.119612068964
2016-03-01,8582.460752688172,2836.418481182796,30763.29798387097,905.3622311827958,31637.27176275452,23404.715788721114,1014.1666823953329,697.0155913978494,759.0268817204301,699.9516129032259,11135.031816231982,2171.2369437771677,-3430.565188172043,19375.307123655915,197574.15564516129,54758.39674702586,440.15672043010755,10765.973348490048,29.05743679935941,26.293378231525963,173635.28555107524,5569.950225920842,2291.5709677419354,2271.3103680507893,16120.1608584992
2016-04-01,8036.247083333334,2195.68,28906.20611111111,1051.8509722222223,28748.664372044917,17878.64488475177,823.886663711584,814.0041666666667,748.0195833333333,690.9781944444444,12962.804760638299,2157.514598108747,-3278.7806944444446,19541.03138888889,182412.42694444445,48443.05547724586,445.3256944444445,9704.077813238771,32.764892139479905,29.969968971631204,156990.1573611111,7707.853594858156,2190.474027777778,2362.8879122340427,15371.906371158393
2016-05-01,7825.468817204301,3441.4997983870967,27279.342876344086,1058.571505376344,25157.85188315031,14439.498635895676,832.5422829444063,660.149059139785,621.8466397849463,685.8336021505377,13755.710100663464,2116.0892959277057,-3543.9224462365587,18065.073655913977,169910.75288978496,43251.69645962022,439.98319892473114,9355.726705845344,35.92493136582018,32.39912491420727,144785.99590053764,9063.636271734156,2255.150134408602,2335.514500400366,13763.785185026309
