Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu)
2015-01-01,8.99428575379508,2.929350030422211,6.783317242202431
2015-02-01,7.169999949137369,2.754947361193205,7.494766767740529
2015-03-01,7.4636110994550915,2.746909098191695,6.948688884228896
2015-04-01,7.193611145019531,2.5913333211626326,6.999473288396421
2015-05-01,7.350666681925456,2.8559500098228456,6.711971176676845
2015-06-01,7.4319443172878685,2.7692272663116455,6.734622497030962
2015-07-01,7.645277712080214,2.808090914379467,6.7243990267299525
2015-08-01,7.905312478542328,2.7534762110028947,6.387315363312449
2015-09-01,7.168529426350313,2.6389047418321883,6.312378915031748
2015-10-01,6.86941177704755,2.3850454633886162,5.99998698748595
2015-11-01,7.360624998807907,2.2798500061035156,5.412417650622073
2015-12-01,7.161578906209845,2.043499995361675,4.986258284099801
2016-01-01,6.035999933878581,2.2333684093073796,4.430392205246009
2016-02-01,4.941875010728836,1.9294500052928925,4.046715094949614
2016-03-01,4.3686842918396,1.8121363683180376,3.992324565017045
2016-04-01,4.270937442779541,2.0143809602374123,4.021214572540687
2016-05-01,4.546176489661722,2.08342859290895,4.3273163055555415
2016-06-01,5.007777770360311,2.62381818077781,4.75512113945832
2016-07-01,5.5776666641235355,2.7613999605178834,4.61947920059483
2016-08-01,5.646842103255422,2.722347829652869,3.9216168652349324
2016-09-01,5.6006249487400055,2.902904748916626,4.032391516588447
2016-10-01,6.426874995231628,3.0642500162124633,5.2047579551051895
2016-11-01,7.098823547363281,2.885550022125244,5.712398762999219
2016-12-01,7.8144444889492455,3.5837142921629406,5.465756584227651
2017-01-01,7.86,3.291200006008148,6.269681113342811
2017-02-01,7.86,2.9067368507385254,6.1027175674579635
2017-03-01,7.86,2.9924347504325537,4.949206575911566
2017-04-01,7.86,3.189473691739534,5.036432968773568
2017-05-01,5.502000045776367,3.235636364329945,5.0644233655726625
2017-06-01,5.479999932375821,2.993590918454257,4.982472121887061
2017-07-01,5.555749988555908,2.9551499843597413,5.09852052258998
2017-08-01,6.002608713896378,2.9051738821941875,5.53806874570852
2017-09-01,7.0457500457763675,3.00589998960495,6.0220090471166925
2017-10-01,8.605909087441184,2.912590904669328,6.2167958466976305
2017-11-01,9.427142915271578,3.058857111703782,6.716374790812891
2017-12-01,10.398750066757202,2.776049995422363,7.125206101434033
2018-01-01,10.662619091215587,3.160571438925607,6.6348254771022255
2018-02-01,9.525263284382067,2.662368423060367,6.688096447883636
2018-03-01,7.890000048137846,2.6993809654599143,6.6920996146610845
2018-04-01,7.501428581419445,2.7242381005060103,6.92784013173687
2018-05-01,8.579545389522206,2.8293181657791138,7.478624277684963
2018-06-01,10.055952253795805,2.9425238087063743,7.441961071591995
2018-07-01,9.997857048397972,2.7893333435058594,7.604084249427799
2018-08-01,10.685652110887611,2.9080869529558266,8.090059945772497
2018-09-01,11.540263276351126,2.8959999962856897,9.55562982072719
2018-10-01,10.91130430802055,3.2079564903093423,8.79973892486517
2018-11-01,10.339523814973377,4.0933809507460825,8.268030660122868
2018-12-01,9.353421110855905,3.8966316047467684,7.969668765313313
2019-01-01,8.3378571555728,3.100333338692075,7.263613743649152
2019-02-01,6.85052638304861,2.6825789401405737,6.020399624240964
2019-03-01,5.40452378136771,2.8046666781107583,5.180380739826852
