Date,Av_storage(bcm)
2015-01-01,71.27325714285715
2015-01-02,70.80740952380953
2015-01-03,70.40602857142856
2015-01-04,70.00232380952382
2015-01-05,69.43030476190476
2015-01-06,68.85337142857144
2015-01-07,68.24821904761905
2015-01-08,67.70755238095238
2015-01-09,67.28494285714285
2015-01-10,66.99357142857143
2015-01-11,66.62379047619048
2015-01-12,66.14121904761905
2015-01-13,65.66888571428571
2015-01-14,65.0971619047619
2015-01-15,64.5964761904762
2015-01-16,64.0499238095238
2015-01-17,63.55785714285714
2015-01-18,63.055885714285715
2015-01-19,62.35421904761905
2015-01-20,61.645247619047616
2015-01-21,60.94173333333333
2015-01-22,60.2169619047619
2015-01-23,59.48582857142857
2015-01-24,58.86152380952382
2015-01-25,58.26623809523809
2015-01-26,57.57882857142857
2015-01-27,56.8886
2015-01-28,56.200990476190476
2015-01-29,55.46913333333333
2015-01-30,54.75026666666666
2015-01-31,54.14613333333333
2015-02-01,53.53064761904763
2015-02-02,52.740342857142856
2015-02-03,51.903523809523804
2015-02-04,51.07444761904762
2015-02-05,50.242285714285714
2015-02-06,49.400780952380956
2015-02-07,48.63570476190476
2015-02-08,47.94240952380952
2015-02-09,47.17727619047619
2015-02-10,46.461666666666666
2015-02-11,45.72704761904762
2015-02-12,44.99983809523809
2015-02-13,44.35365714285714
2015-02-14,43.813809523809525
2015-02-15,43.30014285714286
2015-02-16,42.63957142857143
2015-02-17,41.96859047619048
2015-02-18,41.26179047619048
2015-02-19,40.579190476190476
2015-02-20,39.9192
2015-02-21,39.35525714285715
2015-02-22,38.84304761904762
2015-02-23,38.28033333333333
2015-02-24,37.7112
2015-02-25,37.161704761904765
2015-02-26,36.65345714285714
2015-02-27,36.13741904761905
2015-02-28,35.67869523809524
2015-03-01,35.2886
2015-03-02,34.84212380952381
2015-03-03,34.33938095238095
2015-03-04,33.83130476190476
2015-03-05,33.33861904761905
2015-03-06,32.95224761904762
2015-03-07,32.69851428571429
2015-03-08,32.502314285714284
2015-03-09,32.21197142857143
2015-03-10,31.965866666666663
2015-03-11,31.69769523809524
2015-03-12,31.395209523809523
2015-03-13,31.086657142857142
2015-03-14,30.797409523809524
2015-03-15,30.528
2015-03-16,30.215561904761906
2015-03-17,29.975209523809525
2015-03-18,29.737828571428572
2015-03-19,29.490342857142856
2015-03-20,29.221838095238095
2015-03-21,29.005866666666666
2015-03-22,28.76709523809524
2015-03-23,28.475133333333332
2015-03-24,28.214199999999998
2015-03-25,27.939333333333334
2015-03-26,27.6984
2015-03-27,27.468857142857143
2015-03-28,27.37544761904762
2015-03-29,27.323409523809524
2015-03-30,27.16191428571429
2015-03-31,26.96622857142857
2015-04-01,26.852228571428572
2015-04-02,26.670571428571428
2015-04-03,26.579400000000003
2015-04-04,26.54092380952381
