Date,Battery,Battery Consumption,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2019-12-31,,,9490.1,-3028.7,19908.8,909.6,47110.4,14395.2,1856.6,102.8,674.2,698.9,20449.4,2259.3,-637.8,15334.4,266225.2,89996.8,521.8,7123.9,30.0,29.6,235542.3,16.7,2989.9,1630.9,29035.4
2020-01-01,,,7059.6375,459.60625,20514.941666666666,910.5749999999999,30369.34375,7907.66875,951.6104166666668,95.98333333333333,717.6416666666668,695.7666666666668,11111.074999999999,1573.3520833333332,-4885.8,14693.833333333334,167599.86875,52146.84791666667,529.1583333333333,3560.035416666667,52.81041666666667,45.86666666666667,139654.17916666667,3322.5437500000003,2955.629166666667,4285.389583333334,20337.758333333335
2020-01-02,,,6892.575,-106.86458333333336,23198.274999999998,920.2125,34809.356250000004,9760.179166666667,1033.9541666666667,109.69166666666666,621.0666666666667,688.35,11701.61875,2526.764583333333,-3982.4874999999997,18156.766666666666,190345.36666666667,52422.97708333333,532.7416666666667,4463.870833333333,63.45416666666667,59.38125,151353.98124999998,2874.85,2883.6625,9271.356249999999,26845.185416666664
2020-01-03,,,6822.933333333333,-386.5229166666666,20112.733333333334,988.8249999999999,34872.07916666667,9827.106249999999,1095.7625,104.39999999999999,648.3583333333333,685.6125000000001,11399.0375,2157.9125,-4366.533333333334,16081.4375,195775.53333333333,51808.125,531.8041666666667,4691.635416666667,64.09375,56.65625,149099.21666666667,2404.65,2872.308333333333,9289.052083333334,34982.60833333333
2020-01-04,,,6802.564583333333,-891.7229166666666,18121.641666666666,1062.9291666666666,31811.91458333333,9297.045833333334,999.43125,126.99166666666667,698.2541666666666,698.5041666666666,10807.329166666666,1742.425,-4889.504166666667,14736.708333333334,184546.40625,51609.2875,532.2624999999999,4431.602083333333,61.03958333333333,55.74583333333334,139523.57708333334,2482.5875,2841.7374999999997,7667.877083333333,34872.364583333336
2020-01-05,,,7001.558333333333,538.95,22072.649999999998,1138.7708333333333,30446.614583333332,9223.072916666666,922.7375000000001,147.65833333333333,700.6833333333334,699.3541666666666,10259.195833333333,1499.5479166666667,-4520.333333333333,16565.125,178181.99375,52659.725,531.2416666666667,4164.239583333333,60.893750000000004,53.56666666666666,144495.96458333332,2824.6354166666665,2958.4791666666665,6518.535416666667,24342.841666666664
2020-01-06,,,7029.295833333334,335.22083333333336,23439.495833333334,1140.5249999999999,37121.708333333336,11883.491666666667,935.9104166666666,133.32083333333333,680.4250000000001,691.7333333333332,10835.852083333333,1781.0062500000001,-3880.9125,18104.079166666666,193311.86875,53635.7875,523.2583333333333,4331.754166666667,62.083333333333336,74.56666666666668,155249.2125,3127.9520833333336,2945.8958333333335,9668.845833333333,25265.852083333335
2020-01-07,,,7132.435416666667,2032.4770833333332,26875.49166666667,1165.8458333333333,43032.83958333333,13802.077083333332,955.74375,124.47916666666667,615.4625,698.0166666666668,11254.616666666667,2860.3562500000003,-3984.65,21205.745833333334,210072.2020833333,53510.84375,520.65,4825.935416666666,63.4625,57.50625,170807.56666666668,2445.0041666666666,3000.504166666667,8926.635416666666,27893.010416666668
2020-01-08,,,6991.29375,-221.61041666666674,26494.30416666667,1168.9458333333334,49678.03333333333,14518.835416666667,1088.8,139.70000000000002,680.1708333333333,689.6625,11019.858333333332,2445.9249999999997,-3331.5333333333333,19517.537500000002,210042.3583333333,53249.85,529.4375,4512.739583333333,49.541666666666664,48.97291666666666,172454.64375000002,2494.8875000000003,3014.4708333333333,6417.622916666667,28675.202083333334
2020-01-09,,,7199.333333333333,2422.4375,27075.720833333336,1107.2791666666667,49292.356250000004,13849.981249999999,1154.8416666666667,271.78333333333336,793.1166666666667,695.6625,11286.097916666666,2146.866666666667,-3116.625,19923.666666666668,210863.23958333334,50639.24791666667,534.9,4856.895833333333,45.59166666666667,42.739583333333336,174017.78125,2830.9229166666664,3027.2333333333336,7392.808333333333,26621.733333333334
