Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu)
2020-01-01,,,
2020-01-02,5.25,2.121999979019165,3.971027864299788
2020-01-03,5.385000228881836,2.130000114440918,4.251498010752
2020-01-06,5.315000057220459,2.134999990463257,4.0172588007573395
2020-01-07,5.300000190734863,2.1619999408721924,3.9153599982484812
2020-01-08,5.309999942779541,2.1410000324249268,3.911677896375762
2020-01-09,5.300000190734863,2.1659998893737793,3.9671428005476628
2020-01-10,5.300000190734863,2.2019999027252197,3.8882376415679456
2020-01-13,5.300000190734863,2.181999921798706,3.9276509476388366
2020-01-14,5.300000190734863,2.187000036239624,3.6896092147070974
2020-01-15,5.295000076293945,2.119999885559082,3.647229084149272
2020-01-16,4.179999828338623,2.0769999027252197,3.6335508685539355
2020-01-17,4.130000114440918,2.003000020980835,3.5684525174151336
2020-01-20,,,
2020-01-21,4.074999809265137,1.8949999809265137,3.5043796831943035
2020-01-22,4.019999980926514,1.9049999713897705,3.3968374316717753
2020-01-23,4.0,1.9259999990463257,3.392024206552265
2020-01-24,4.0,1.8930000066757202,3.387524269581187
2020-01-27,4.0,1.9019999504089355,3.40099335754062
2020-01-28,4.0,1.934000015258789,3.484856883825736
2020-01-29,3.9000000953674316,1.8769999742507935,3.2789862265194096
2020-01-30,3.875,1.8289999961853027,3.1578206712805663
2020-01-31,4.019999980926514,1.840999960899353,3.1532574239326485
2020-02-03,3.7300000190734863,1.819000005722046,2.9934645081626234
2020-02-04,3.700000047683716,1.871999979019165,3.036468345944173
2020-02-05,3.5999999046325684,1.8609999418258667,3.0159856164635928
2020-02-06,3.555000066757202,1.8619999885559082,2.950502257038974
2020-02-07,3.569999933242798,1.8580000400543213,2.9195659027973817
2020-02-10,3.5199999809265137,1.7660000324249268,2.7742306358626005
2020-02-11,3.5250000953674316,1.7879999876022339,2.7363606451979314
2020-02-12,3.5250000953674316,1.843999981880188,2.790659425894125
2020-02-13,3.5250000953674316,1.8259999752044678,2.833739372458059
2020-02-14,3.5199999809265137,1.8370000123977661,2.8227538772238208
2020-02-17,,,
2020-02-18,2.9749999046325684,1.9809999465942383,2.980076728666877
