Date,Storage(TWh)
2020-08-21,1023.4872
2020-08-22,1026.8716
2020-08-23,1030.1421
2020-08-24,1031.4799
2020-08-25,1033.0561
2020-08-26,1034.4057
2020-08-27,1035.0896
2020-08-28,1034.6344
2020-08-29,1036.1598
2020-08-30,1037.8369
2020-08-31,1035.1478
2020-09-01,1035.3501
2020-09-02,1038.3836
2020-09-03,1040.0678
2020-09-04,1041.7917
2020-09-05,1044.5213
2020-09-06,1047.1305
2020-09-07,1048.4508
2020-09-08,1049.6973
2020-09-09,1051.1459
2020-09-10,1052.3105
2020-09-11,1053.9484
2020-09-12,1056.903
2020-09-13,1059.9492
2020-09-14,1061.4875
2020-09-15,1062.7098
2020-09-16,1063.8505
2020-09-17,1063.4467
2020-09-18,1065.0621
2020-09-19,1067.2275
2020-09-20,1069.4611
2020-09-21,1070.4003
2020-09-22,1071.3425
2020-09-23,1072.3628
2020-09-24,1073.7495
2020-09-25,1075.0633
2020-09-26,1076.6648
2020-09-27,1078.0181
2020-09-28,1077.4019
2020-09-29,1076.9034
2020-09-30,1075.7962
2020-10-01,1076.1302
2020-10-02,1077.7767
2020-10-03,1080.0721
2020-10-04,1082.5286
2020-10-05,1083.15
2020-10-06,1083.8886
2020-10-07,1084.385
2020-10-08,1084.8765
2020-10-09,1085.5221
2020-10-10,1088.1709
2020-10-11,1089.3375
2020-10-12,1088.6767
2020-10-13,1087.4478
2020-10-14,1086.1493
2020-10-15,1084.2949
2020-10-16,1082.3353
2020-10-17,1079.7627
2020-10-18,1080.9761
2020-10-19,1079.5377
2020-10-20,1078.521
2020-10-21,1078.0575
2020-10-22,1077.472
2020-10-23,1076.9835
2020-10-24,1078.3696
2020-10-25,1079.6235
2020-10-26,1079.4882
2020-10-27,1077.7706
2020-10-28,1076.8633
2020-10-29,1075.8781
2020-10-30,1076.3161
2020-10-31,1077.5593
2020-11-01,1079.6009
2020-11-02,1080.2665
2020-11-03,1079.1693
2020-11-04,1077.0668
2020-11-05,1074.6716
2020-11-06,1073.0243
2020-11-07,1072.3949
2020-11-08,1072.1488
2020-11-09,1070.0663
2020-11-10,1067.0249
2020-11-11,1064.8264
2020-11-12,1062.638
2020-11-13,1060.5728
2020-11-14,1060.414
2020-11-15,1060.7559
2020-11-16,1059.1473
2020-11-17,1057.3976
2020-11-18,1056.1233
2020-11-19,1053.8632
2020-11-20,1050.3908
2020-11-21,1048.1
2020-11-22,1045.4507
2020-11-23,1041.4326
2020-11-24,1036.9906
2020-11-25,1031.58
2020-11-26,1025.692
2020-11-27,1019.7617
2020-11-28,1014.8239
2020-11-29,1009.8108
2020-11-30,1003.6207
2020-12-01,997.0613
2020-12-02,989.4642
2020-12-03,982.0512
2020-12-04,975.3924
2020-12-05,970.4564
2020-12-06,965.4959
2020-12-07,958.7017
2020-12-08,952.3295
2020-12-09,944.3071
2020-12-10,936.9971
2020-12-11,930.157
2020-12-12,924.9929
2020-12-13,920.8906
2020-12-14,915.8699
2020-12-15,910.2929
2020-12-16,905.252
2020-12-17,900.4851
2020-12-18,896.3221
2020-12-19,893.5449
2020-12-20,890.3934
2020-12-21,885.9878
2020-12-22,882.2674
2020-12-23,879.717
2020-12-24,877.4457
2020-12-25,874.137
2020-12-26,870.8091
2020-12-27,866.5272
2020-12-28,860.7284
2020-12-29,854.8547
2020-12-30,848.9146
2020-12-31,830.2783
2021-01-01,825.9856
2021-01-02,820.0704
2021-01-03,813.714
