Date,DE_price(EUR/MWh),IT_price(EUR/MWh)
2019-12-31,41.88,
2020-01-01,34.69416666666667,
2020-01-02,38.28875,
2020-01-03,26.170833333333334,
2020-01-04,20.747916666666665,
2020-01-05,35.388333333333335,
2020-01-06,38.20041666666666,
2020-01-07,40.03208333333333,
2020-01-08,34.211666666666666,
2020-01-09,35.950833333333335,
2020-01-10,35.13583333333333,
2020-01-11,31.347916666666666,
2020-01-12,22.59583333333333,
2020-01-13,37.71208333333333,
2020-01-14,23.08666666666667,
2020-01-15,25.47,
2020-01-16,38.1275,
2020-01-17,36.67791666666667,
2020-01-18,32.30416666666667,
2020-01-19,33.940000000000005,
2020-01-20,44.48916666666667,
2020-01-21,41.66125,
2020-01-22,46.12708333333333,
2020-01-23,51.37625,
2020-01-24,50.2425,
2020-01-25,40.275,
2020-01-26,33.62708333333333,
2020-01-27,37.46541666666666,
2020-01-28,31.314166666666665,
2020-01-29,33.57958333333333,
2020-01-30,31.611666666666665,
2020-01-31,22.487916666666667,
2020-02-01,6.625,
2020-02-02,17.858333333333334,
2020-02-03,27.860833333333332,
2020-02-04,28.069166666666664,
2020-02-05,36.24375,
2020-02-06,37.20333333333333,
2020-02-07,36.34875,
2020-02-08,27.96083333333333,
2020-02-09,0.39833333333333343,
2020-02-10,8.545416666666666,
2020-02-11,11.293333333333335,
2020-02-12,20.395,
2020-02-13,37.665,
2020-02-14,36.069583333333334,
2020-02-15,19.015416666666667,
2020-02-16,-9.071666666666667,
2020-02-17,20.150000000000002,
2020-02-18,21.965416666666666,
2020-02-19,31.05458333333333,
2020-02-20,27.93625,
2020-02-21,24.300833333333333,
2020-02-22,-2.0458333333333334,
2020-02-23,7.152083333333334,
2020-02-24,28.9025,
2020-02-25,24.753333333333334,
2020-02-26,31.921666666666667,
2020-02-27,38.3575,
2020-02-28,29.825833333333335,
2020-02-29,8.68875,
2020-03-01,8.358333333333333,
2020-03-02,33.25125,
2020-03-03,36.41833333333333,
2020-03-04,39.61666666666667,
2020-03-05,35.834583333333335,
2020-03-06,30.746666666666666,
2020-03-07,28.66333333333333,
2020-03-08,17.2825,
2020-03-09,37.07333333333333,
2020-03-10,22.245,
2020-03-11,22.996666666666666,
2020-03-12,12.245416666666666,
2020-03-13,17.650000000000002,
2020-03-14,29.431250000000002,
2020-03-15,4.889166666666667,
2020-03-16,31.42125,
2020-03-17,28.03625,
2020-03-18,26.6125,
2020-03-19,28.62875,
2020-03-20,24.84583333333333,
2020-03-21,10.290000000000001,
2020-03-22,-0.7570833333333334,
2020-03-23,17.172916666666666,
2020-03-24,20.5625,
2020-03-25,23.0775,
2020-03-26,22.295,
2020-03-27,21.57625,
2020-03-28,13.817916666666667,
2020-03-29,5.0529166666666665,
2020-03-30,23.618750000000002,
2020-03-31,25.145,
2020-04-01,23.553749999999997,
2020-04-02,19.681250000000002,
2020-04-03,22.844166666666666,
2020-04-04,19.36625,
2020-04-05,1.9129166666666668,
2020-04-06,18.547083333333333,
2020-04-07,23.609583333333333,
2020-04-08,26.60625,
2020-04-09,23.7675,
2020-04-10,22.967916666666667,
2020-04-11,20.638333333333332,
2020-04-12,11.183333333333332,
2020-04-13,-16.05875,
2020-04-14,21.098333333333333,
2020-04-15,20.357083333333332,
2020-04-16,25.41,
2020-04-17,27.710416666666664,
2020-04-18,19.734166666666667,
2020-04-19,6.5183333333333335,
2020-04-20,2.4479166666666665,
2020-04-21,-16.168333333333333,
2020-04-22,9.179166666666667,
2020-04-23,27.994583333333335,
2020-04-24,19.669999999999998,
2020-04-25,17.700416666666666,
2020-04-26,18.883333333333333,
2020-04-27,25.521666666666665,
2020-04-28,24.815833333333334,
2020-04-29,22.907083333333333,
2020-04-30,19.076249999999998,
2020-05-01,7.004166666666666,
2020-05-02,12.872083333333334,
2020-05-03,14.509583333333333,
2020-05-04,26.105,
2020-05-05,21.92375,
2020-05-06,21.405833333333334,
2020-05-07,24.018333333333334,
2020-05-08,23.724999999999998,
2020-05-09,21.895416666666666,
2020-05-10,11.23375,
2020-05-11,15.424166666666666,
2020-05-12,22.508750000000003,
2020-05-13,29.345416666666665,
2020-05-14,22.807916666666667,
2020-05-15,21.14875,
2020-05-16,16.896666666666665,
2020-05-17,9.330416666666666,
2020-05-18,19.7275,
2020-05-19,24.120833333333334,
2020-05-20,31.95958333333333,
2020-05-21,19.398333333333333,
2020-05-22,18.351666666666667,
2020-05-23,9.102500000000001,
2020-05-24,-24.987083333333334,
2020-05-25,19.409166666666668,
2020-05-26,27.47083333333333,
2020-05-27,22.462500000000002,
2020-05-28,20.574583333333333,
2020-05-29,22.505416666666665,
2020-05-30,12.105833333333335,
2020-05-31,1.3945833333333335,
2020-06-01,6.7925,
2020-06-02,28.971666666666668,
2020-06-03,28.573333333333334,
2020-06-04,26.173333333333332,
2020-06-05,23.2625,
2020-06-06,7.8975,
2020-06-07,18.07875,
2020-06-08,31.5975,
2020-06-09,36.514583333333334,
2020-06-10,31.302916666666665,
2020-06-11,23.64125,
2020-06-12,20.794583333333332,
2020-06-13,19.632083333333334,
2020-06-14,18.85625,
2020-06-15,31.58375,
2020-06-16,34.369166666666665,
2020-06-17,36.842083333333335,
2020-06-18,31.784583333333334,
2020-06-19,29.80666666666667,
2020-06-20,24.24083333333333,
2020-06-21,19.094166666666666,
2020-06-22,30.06625,
2020-06-23,33.04458333333333,
2020-06-24,35.29833333333333,
2020-06-25,34.564166666666665,
2020-06-26,35.05375,
2020-06-27,25.929166666666664,
2020-06-28,17.058333333333334,
2020-06-29,27.469166666666666,
2020-06-30,18.58125,
2020-07-01,33.071666666666665,
2020-07-02,39.331250000000004,
2020-07-03,33.931666666666665,
2020-07-04,13.817083333333334,
2020-07-05,-14.745,
2020-07-06,15.552916666666667,
2020-07-07,32.272083333333335,
2020-07-08,41.5625,
2020-07-09,42.35125,
2020-07-10,36.237500000000004,
2020-07-11,28.489583333333332,
2020-07-12,24.51,
2020-07-13,34.54,
2020-07-14,36.82625,
2020-07-15,41.831250000000004,
2020-07-16,44.43083333333333,
2020-07-17,37.44291666666667,
2020-07-18,28.89833333333333,
2020-07-19,27.66416666666667,
2020-07-20,32.9475,
2020-07-21,31.81625,
2020-07-22,34.65333333333333,
2020-07-23,35.208333333333336,
2020-07-24,31.48166666666667,
2020-07-25,24.69458333333333,
2020-07-26,13.196666666666667,
2020-07-27,31.629166666666666,
2020-07-28,23.457083333333333,
2020-07-29,21.502916666666668,
2020-07-30,35.82541666666666,
2020-07-31,37.89416666666667,
2020-08-01,28.332916666666666,
2020-08-02,28.00791666666667,
2020-08-03,36.94833333333333,
2020-08-04,36.349583333333335,
2020-08-05,29.285416666666666,
2020-08-06,33.87916666666667,
2020-08-07,36.209583333333335,
2020-08-08,31.635,
2020-08-09,28.442916666666665,
2020-08-10,37.347500000000004,
2020-08-11,35.52458333333333,
2020-08-12,36.34041666666666,
2020-08-13,38.79416666666666,
2020-08-14,41.10166666666667,
2020-08-15,31.438333333333333,
2020-08-16,28.560833333333335,
2020-08-17,40.78333333333333,
2020-08-18,42.485,
2020-08-19,37.8225,
2020-08-20,38.152499999999996,
2020-08-21,31.61583333333333,
2020-08-22,23.524583333333336,
2020-08-23,16.569166666666668,
2020-08-24,45.6975,
2020-08-25,35.73708333333334,
2020-08-26,18.917916666666667,
2020-08-27,47.69333333333333,
2020-08-28,40.614583333333336,
2020-08-29,35.74916666666667,
2020-08-30,33.17375,
