Date,USD-EUR
2015-01-01,1.1659787622365085
2015-02-01,1.1355303823947906
2015-03-01,1.0845803510059009
2015-04-01,1.0796655904163013
2015-05-01,1.1165892566953386
2015-06-01,1.121451047333804
2015-07-01,1.0998873192331065
2015-08-01,1.1136188052949452
2015-09-01,1.1235178329727866
2015-10-01,1.1229816566814075
2015-11-01,1.0749225275857108
2015-12-01,1.0884909318841023
2016-01-01,1.086736031941005
2016-02-01,1.1099189633414859
2016-03-01,1.1119846053745435
2016-04-01,1.133916043099903
2016-05-01,1.1314025467092341
2016-06-01,1.124357125975869
2016-07-01,1.1060816163108462
2016-08-01,1.1206496435662974
2016-09-01,1.1213137615810742
2016-10-01,1.1037062860670543
2016-11-01,1.0804159966382114
2016-12-01,1.0542205463756213
2017-01-01,1.0621723911978982
2017-02-01,1.0650880992412568
2017-03-01,1.0687780276588772
2017-04-01,1.0713409781455994
2017-05-01,1.1041413752929023
2017-06-01,1.122866240414706
2017-07-01,1.1520630478858949
2017-08-01,1.1817317423613176
2017-09-01,1.1911359344209944
2017-10-01,1.176206648349762
2017-11-01,1.172959668295724
2017-12-01,1.1831899824596586
2018-01-01,1.217702637548032
2018-02-01,1.235610842704773
2018-03-01,1.2334206266836687
2018-04-01,1.2286932581946963
2018-05-01,1.1832774151926455
2018-06-01,1.1675765684672765
2018-07-01,1.1687707413326611
2018-08-01,1.1551749032476675
2018-09-01,1.1660711944103241
2018-10-01,1.1495495101679927
2018-11-01,1.1365526806224475
2018-12-01,1.1375411294755482
2019-01-01,1.1425329757773357
2019-02-01,1.1353972136974335
2019-03-01,1.1309846015203566
2019-04-01,1.1234920783476396
2019-05-01,1.1189111037687822
2019-06-01,1.1290019631385804
2019-07-01,1.1226816488348919
2019-08-01,1.1131632165475325
2019-09-01,1.1013769819622947
2019-10-01,1.1048393197681592
2019-11-01,1.1054706800551641
2019-12-01,1.1109551245515996
2020-01-01,1.1111802743828816
2020-02-01,1.0910906732082366
2020-03-01,1.1073086207563227
2020-04-01,1.087575007568706
2020-05-01,1.0899938628787087
2020-06-01,1.1256523403254421
2020-07-01,1.1454755067825317
2020-08-01,1.1827620154335385
2020-09-01,1.179660358212211
2020-10-01,1.176976897499778
2020-11-01,1.1829515525272913
2020-12-01,1.2162494555763577
2021-01-01,1.2177854095186507
2021-02-01,1.2098978757858276
2021-03-01,1.1914740697197292
2021-04-01,1.1959596980701794
2021-05-01,1.2140247992106847
2021-06-01,1.2059588649056174
2021-07-01,1.1824925162575461
2021-08-01,1.1770902872085571
2021-09-01,1.1777838360179553
2021-10-01,1.1600631021317982
2021-11-01,1.1417291489514438
2021-12-01,1.1307190449341484
2022-01-01,1.1325737578528268
2022-02-01,1.1339954912662507
2022-03-01,1.1024124985155852
2022-04-01,1.0827445018859136
2022-05-01,1.0573223991827532
2022-06-01,1.057669547471133
2022-07-01,1.0195090543656122
2022-08-01,1.0127989857093147
2022-09-01,0.9911662963303652
2022-10-01,0.9839704036712646
2022-11-01,1.0185469416054813
2022-12-01,1.0582707036625256
2023-01-01,1.0775614109906284
2023-02-01,1.071893221139908
2023-03-01,1.0705653999162756
2023-04-01,1.0958702921867371
2023-05-01,1.0878846593525098
2023-06-01,1.0838338949463584
2023-07-01,1.1055592128208704
2023-08-01,1.0914935080901436
2023-09-01,1.0685271819432576
2023-10-01,1.056465744972229
2023-11-01,1.080629912289706
2023-12-01,1.091428206080482
2024-01-01,1.091784093690955
2024-02-01,1.0793820846648443
2024-03-01,1.0874032065981911
2024-04-01,1.0730683586814187
2024-05-01,1.0804063703702844
2024-06-01,1.0770424127578735
2024-07-01,1.0841466965882673
2024-08-01,1.1014740738001736
2024-09-01,1.1102232138315837
2024-10-01,1.0907826890116152
2024-11-01,1.0641916933513822
2024-12-01,1.0474036444317212
2025-01-01,1.0353535251183943
2025-02-01,1.0412747621536256
2025-03-01,1.079843663033985
2025-04-01,1.1186732709407807
2025-05-01,1.1274955489418723
2025-06-01,1.1516502300898235
2025-07-01,1.1694608719452568
2025-08-01,1.163811757451012
2025-09-01,1.1734681129455566
2025-10-01,1.1644964218139648
2025-11-01,1.1557414472103118
2025-12-01,1.17070411010222
2026-01-01,1.1737959384918213
2026-02-01,1.1827834963798523
2026-03-01,1.1567092266949741
2026-04-01,1.1687387173826045
2026-05-01,1.1681677103042603
2026-06-01,1.1517849293622104
2026-07-01,1.1420442436052405
