Date,VIX
2015-01-01,19.119499969482423
2015-02-01,15.904210492184287
2015-03-01,14.812727277929133
2015-04-01,13.494761875697545
2015-05-01,13.3385000705719
2015-06-01,14.33954551003196
2015-07-01,14.35272723978216
2015-08-01,19.42809536343529
2015-09-01,24.3771428607759
2015-10-01,16.789545449343596
2015-11-01,16.209999990463256
2015-12-01,18.02545473792336
2016-01-01,23.717894805105107
2016-02-01,22.516999816894533
2016-03-01,15.849090966311367
2016-04-01,14.300476255871
2016-05-01,14.852857044764928
2016-06-01,17.774545496160332
2016-07-01,13.158500051498413
2016-08-01,12.399565240611201
2016-09-01,14.219523793175107
2016-10-01,14.58523804800851
2016-11-01,15.236190387180873
2016-12-01,12.472380956013998
2017-01-01,11.608500003814697
2017-02-01,11.530526361967388
2017-03-01,11.897826111834982
2017-04-01,13.136315847698011
2017-05-01,10.862272782759232
2017-06-01,10.513636328957297
2017-07-01,10.264499998092651
2017-08-01,11.97565215566884
2017-09-01,10.437999963760376
2017-10-01,10.125454512509434
2017-11-01,10.540476163228353
2017-12-01,10.264500045776368
2018-01-01,11.062381017775763
2018-02-01,22.464736637316253
2018-03-01,19.023809750874836
2018-04-01,18.26761904216948
2018-05-01,14.124545487490566
2018-06-01,13.678095318022228
2018-07-01,13.147619065784273
2018-08-01,12.546956518422002
2018-09-01,12.910526325828151
2018-10-01,19.352173639380414
2018-11-01,19.389047622680664
2018-12-01,24.953157726087067
2019-01-01,19.57238079252697
2019-02-01,15.234736844112998
2019-03-01,14.485238075256348
2019-04-01,12.949047588166737
2019-05-01,16.721818056973543
2019-06-01,15.835999870300293
2019-07-01,13.30590907010165
2019-08-01,18.979090907356955
2019-09-01,15.558999872207641
2019-10-01,15.466521760691768
2019-11-01,12.523499965667725
2019-12-01,13.756666637602306
2020-01-01,13.94095243726458
2020-02-01,19.628947358382376
2020-03-01,57.7368184002963
2020-04-01,41.45380964733305
2020-05-01,30.89700002670288
2020-06-01,31.11954550309615
2020-07-01,26.840454621748492
2020-08-01,22.88952382405599
2020-09-01,27.647619065784273
2020-10-01,29.438636086203836
2020-11-01,24.995500087738037
2020-12-01,22.374090974981133
2021-01-01,24.90999984741211
2021-02-01,23.140526219418174
2021-03-01,21.843043534652047
2021-04-01,17.416190556117467
2021-05-01,19.7604998588562
2021-06-01,16.956818147139117
2021-07-01,17.60333351861863
2021-08-01,17.47772723978216
2021-09-01,19.8247617994036
2021-10-01,17.869047573634557
2021-11-01,18.500476246788388
2021-12-01,21.354545506564055
2022-01-01,23.18100004196167
2022-02-01,25.74842111687911
2022-03-01,26.968695682028066
2022-04-01,24.37350015640259
2022-05-01,29.445714587257022
2022-06-01,28.100000018165225
2022-07-01,24.86850004196167
2022-08-01,22.169565366662066
2022-09-01,27.406190418061755
2022-10-01,30.005714416503906
2022-11-01,23.436190650576638
2022-12-01,21.784285681588308
2023-01-01,20.202999973297118
2023-02-01,20.06210537960655
2023-03-01,21.644347895746645
2023-04-01,17.8178946344476
2023-05-01,17.64409099925648
2023-06-01,13.994285628909157
2023-07-01,13.943999910354615
2023-08-01,15.853912975477135
2023-09-01,15.241000032424926
2023-10-01,18.887727303938433
2023-11-01,14.077142897106352
2023-12-01,12.718499994277954
2024-01-01,13.395238149733771
2024-02-01,13.944000101089477
2024-03-01,13.787499904632568
2024-04-01,16.137727087194268
2024-05-01,13.090454535050826
2024-06-01,12.676842037000155
2024-07-01,14.470000050284646
2024-08-01,19.31227272207087
2024-09-01,17.768999814987183
2024-10-01,19.96086958180303
2024-11-01,16.121000051498413
2024-12-01,15.866190592447916
2025-01-01,16.74600019454956
2025-02-01,17.052105351498252
2025-03-01,21.841428756713867
2025-04-01,31.966190701439267
2025-05-01,20.457142784481956
2025-06-01,18.21500015258789
2025-07-01,16.331363461234353
2025-08-01,15.749999954586936
2025-09-01,15.773333458673386
2025-10-01,18.086521770643152
2025-11-01,19.904210642764443
2025-12-01,15.548181880604137
2026-01-01,16.04599995613098
2026-02-01,19.23947384482936
2026-03-01,25.59681831706654
2026-04-01,19.811904907226562
2026-05-01,17.237142926170712
2026-06-01,17.960476194109237
2026-07-01,17.179545272480357
