Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),USD-EUR_FX,VIX,EU+UK Fossil gas,EU+UK Fossil oil,EU+UK Coal,EU+UK Hydro_gen,EU+UK Nuclear,EU+UK Others,EU+UK Residual load,EU+UK Production(bcm),EU+UK Electricity(bcm),EU+UK Total(bcm),EU+UK Non_power(bcm),EU+UK Stock_change(bcm),EU+UK Distribution_loss(bcm),EU+UK Total_adj(bcm),EU+UK Net_piped(bcm),EU+UK LNG_sendout(bcm),EU+UK Net_supply,EU+UK_av_storage(bcm),EU+UK Calc_storage_change,EU+UK Act_storage_change,EU+UK Diff_storage_changes,Norway_gas_prod,Norway_supply_red,Norway_planned_outage,Norway_unplanned_outage,Europe_HDD,Europe_CDD,EU_wind_speed,US_GWDD,NE_Asia_GWDD,EU_solar,Nordic_precip,Atlantic_ACE,Gulf_storm_days,EU_wind_speed_anomaly,US_GWDD_anomaly,NE_Asia_GWDD_anomaly,EU_solar_anomaly,Nordic_precip_anomaly,Atlantic_ACE_anomaly,Global LNG nameplate capacity,Global LNG capacity offline,CH+JP+KR LNG imports,EU+UK LNG imports,EG LNG imports,IN LNG imports,QA+AU+US LNG exports,ID+MY+BN LNG exports,NG LNG exports
2015-12-01,7.161578906209845,2.043499995361675,4.986258284099801,1.0884909318841025,18.02545473792336,28950.36897449096,1657.8434797529171,59290.80313000458,19170.992636124458,55468.86287748798,19377.672759380002,162863.19428763443,13.131,8.104,46.903999999999996,38.8,-7.28,0.407,47.2451146478293,19.63061904761905,3.3782095238095233,35.73282857142858,78.22692380952381,-11.51228607640072,-7.989504761904769,3.522781314495951,360.1,0.0,0.0,0.0,864.3,0.0,12.659,19.553,12.557,4.63,177.6,0.0,0,2.56,-5.015,-1.058,0.52,32.305,0.0,313.17,33.4,18040.4,3847.0,516,1798.69,17026.933333333298,6040.259999999999,2570
2016-01-01,6.035999933878581,2.23336840930738,4.430392205246009,1.086736031941005,23.717894805105107,34723.02405913979,2379.061962365591,62355.3433467742,27340.439381720425,57619.61108870968,24428.22956989247,180474.1052419355,13.156,9.280000000000001,58.565,49.285,-17.37,0.402,58.963832874652255,21.934333333333335,3.513936126984127,38.20226946031746,70.23741904761904,-20.761563414334795,-15.867304761904755,4.8942586524300395,360.5,0.0,0.0,0.0,1240.2,0.0,10.871,30.814,15.89,4.378,71.78,4.475,0,0.666,1.412,0.687,-0.487,-71.247,3.866,323.17,33.4,17725.8,3793.0,440,1260.48,16975.8,5506.2,3023
2016-02-01,4.941875010728836,1.9294500052928925,4.046715094949614,1.109918963341486,22.516999816894533,30685.473706896555,1918.7329741379308,57095.49331896552,32566.293031609195,56137.05028735632,23521.27665229885,176264.0740584495,11.805,7.634,49.251999999999995,41.617999999999995,-10.918,0.346,49.580150767970316,19.470000000000002,3.4142006185355864,34.34320061853559,54.37011428571429,-15.236950149434726,-10.7984,4.438550149434725,364.1,0.0,0.0,0.0,996.5,0.0,10.057,25.477,13.887,7.252,66.0,0.0,0,-0.214,-1.769,0.275,-0.847,-39.571,0.0,323.17,33.4,17108.2,3896.0,468,1404.48,17301.6666666666,5395.79999999999,2652
2016-03-01,4.3686842918396,1.8121363683180376,3.992324565017045,1.1119846053745437,15.849090966311367,31637.27176275452,1711.1822737931823,55073.37600377488,30510.338939887897,54758.39674702586,23539.14028397392,173635.28555107524,9.738,7.5089999999999995,45.891999999999996,38.382999999999996,-9.14,0.337,46.191926393027835,19.72009523809524,3.785389333333333,32.90648457142857,43.571714285714286,-13.285441821599264,-7.821219047619046,5.464222773980218,360.4,0.0,0.0,0.0,1031.9,0.0,7.968,16.598,9.15,12.485,49.12,0.0,0,-1.016,-3.384,0.319,0.033,-50.309,0.0,338.77,38.6,19210.6,3895.0,678,1812.02,18117.5333333333,5702.16,2395
2016-04-01,4.270937442779541,2.0143809602374123,4.021214572540687,1.133916043099903,14.300476255871,28748.66437204492,1637.8908303782507,47836.70196808511,32503.83614952719,48443.05547724586,21815.122396572107,156990.1573611111,10.857,6.76,34.771,28.011,4.476,0.32,34.9926186967793,20.41361904761905,3.743057142857143,34.69367619047619,35.75049523809524,-0.2989425063031135,5.544638095238092,5.8435806015412055,347.7,9.8,29.0,6.1,666.0999999999999,0.0,7.833,13.031,3.932,17.57,72.69,0.0,0,-0.159,0.182,-0.499,-0.27,-7.588,-0.081,338.77,38.6,14547.0,4163.0,649,1949.47,17882.4,5283.191999999988,2725
2016-05-01,4.546176489661722,2.08342859290895,4.3273163055555415,1.131402546709234,14.852857044764928,25157.85188315031,1492.6913420841913,42777.41301761611,31820.78375657744,43251.69645962022,21184.009098318467,144785.99590053764,11.027000000000001,5.52,27.741,22.221,9.893,0.315,27.923230587958606,20.174714285714288,3.6173047619047622,34.50401904761905,41.29513333333333,6.580788459660447,11.28899047619047,4.708202016530024,309.1,48.4,154.7,18.5,288.79999999999995,0.0,7.946,8.656,3.051,20.563,60.21,0.565,0,0.555,0.691,-0.207,-0.559,-18.292,-0.264,342.67,38.6,13035.0,3953.0,872,1881.89,17446.266666666597,4472.304,3053
2016-06-01,5.007777770360311,2.62381818077781,4.75512113945832,1.124357125975869,17.774545496160332,27590.470307328607,1727.8560165484635,47202.19434397163,30519.852643321512,44542.15891991726,19999.112467494087,152011.76131944446,9.103,6.244,24.087000000000003,17.843000000000004,11.628,0.277,24.244762462114082,19.36890476190476,3.448885714285714,31.64379047619047,52.5841238095238,7.399028014076389,12.042971428571434,4.643943414495045,273.0,84.5,136.1,166.4,91.4,40.0,6.052,8.915,5.701,21.951,66.77,2.435,4,-0.886,0.109,-0.181,-1.301,-35.386,-0.515,342.67,33.4,15117.0,4358.0,1061,1676.94,18603.133333333302,4839.936000000001,2811
2016-07-01,5.577666664123536,2.7613999605178834,4.61947920059483,1.1060816163108462,13.158500051498413,28623.77055879661,2023.2891257721344,48723.07646991535,25562.271097860903,46653.524561027225,20695.53607441089,150249.24153225805,9.957,6.971,24.579,17.608,12.667,0.341,24.743580256175747,20.491285714285713,4.234952380952381,34.342238095238095,64.62709523809524,9.598657839062348,13.988342857142854,4.389685018080506,290.4,67.1,197.4,42.7,37.400000000000006,134.5,7.056,13.374,8.467,22.709,117.85,0.0,0,-0.037,1.185,-0.393,-0.506,-17.048,-10.202,342.67,33.4,14397.0,4178.0,1120,1754.42,19100.0,4712.147999999989,2676
2016-08-01,5.646842103255422,2.722347829652869,3.921616865234933,1.1206496435662974,12.3995652406112,28226.73780608937,2144.142514870739,47058.35878841607,22788.960015919314,46122.11178143827,20135.719019770455,144041.2745967742,9.736,6.175000000000001,23.869,17.694000000000003,9.566,0.305,24.028402286989103,17.54709523809524,2.8903714285714286,29.86846666666667,78.61543809523809,5.8400643796775675,10.466657142857144,4.626592763179577,259.1,98.3,329.7,22.4,34.4,113.5,7.429,12.333,8.895,20.635,141.31,29.623,3,0.281,1.144,-0.181,0.518,-0.132,8.012,342.67,28.2,16970.0,3207.0,1163,1832.28,19927.5,4108.259999999989,1851
2016-09-01,5.6006249487400055,2.902904748916626,4.032391516588447,1.1213137615810742,14.219523793175108,33473.89839539007,2089.6643218085105,53436.16452275413,20802.849426713947,45702.4606855792,21673.865921985813,153526.14020833332,9.827,7.3629999999999995,26.799,19.436,5.997,0.304,26.979663464679028,16.62295238095238,3.746314285714286,29.892266666666668,89.08209523809523,2.91260320198764,6.636876190476201,3.7242729884885613,211.7,145.8,499.8,22.2,63.2,29.200000000000003,7.443,8.335,5.483,15.549,98.85,28.135,4,-0.25,0.603,0.008,0.531,-31.93,-45.86,342.67,28.2,15993.0,4395.0,1066,1985.58,19687.0,5064.599999999989,2640
2016-10-01,6.426874995231628,3.0642500162124637,5.2047579551051895,1.1037062860670543,14.58523804800851,38646.586391843965,2005.4852922672155,57650.118850091516,19694.277482269503,45740.49112331274,22919.948740276825,160906.62997311828,11.291,8.549,39.005,30.456000000000003,0.515,0.389,39.26614413083585,22.221238095238093,3.3559619047619047,36.4792,95.71897142857144,-2.786944130835849,0.04662857142857035,2.8335727022644193,347.3,10.2,31.4,5.1,532.9,0.0,7.856,8.283,4.18,8.754,48.0,75.352,2,-1.219,-0.986,0.236,-0.542,-84.885,40.005,342.67,28.2,15874.0,3621.0,949,2361.29,18960.0,5173.61999999999,2613
2016-11-01,7.098823547363281,2.885550022125244,5.712398762999219,1.0804159966382114,15.236190387180873,43624.06998226951,2286.0214685476412,61990.60314876914,21103.685690975435,49515.77547788827,24525.6243710813,176058.50865248227,12.109,8.447,51.010999999999996,42.564,-10.864,0.397,51.35096881620754,21.73409523809524,3.437295238095238,36.88339047619048,95.7656,-14.467578340017063,-11.521314285714283,2.9462640543027803,357.8,0.0,0.0,0.0,923.8,0.0,8.755,14.54,8.848,5.346,109.83,9.67,0,-0.654,-2.966,0.849,-0.229,2.063,0.172,342.67,28.2,19091.0,3657.0,853,1905.69,18497.0,5488.259999999999,2883
2016-12-01,7.814444488949245,3.583714292162941,5.465756584227651,1.0542205463756211,12.472380956013998,43766.33970344315,2011.6937528597575,60916.59391300618,21340.680020304277,53177.9184339968,25894.810877087624,178362.44623655913,12.9,9.782,58.129000000000005,48.347,-16.68,0.417,58.52424626261033,22.799761904761905,3.4601142857142855,38.74287619047619,84.24428571428572,-19.781370072134145,-17.014580952380967,2.7667891197531773,347.5,10.0,26.4,9.4,1162.8,0.0,9.275,27.249,12.374,4.411,187.09,0.0,0,-0.824,2.68,-1.242,0.3,41.795,0.0,343.87,28.2,20984.0,3792.0,835,1636.12,19703.0,5910.539999999991,2878
2017-01-01,7.86,3.291200006008148,6.269681113342811,1.0621723911978982,11.608500003814695,47212.095999074925,2749.5784449509115,68004.0589136776,25002.315302686682,56195.34983481792,27192.996362699312,191315.7663306452,12.379,12.500100000000002,68.1802,55.680099999999996,-23.6489,0.4982,68.55274359474703,33.19871428571428,3.8671746031746026,48.946688888888886,67.22970476190476,-19.606054705858142,-24.085209523809517,-4.479154817951375,372.8,0.0,0.0,0.0,1480.4,0.0,8.46,26.524,14.869,5.401,150.93,0.0,0,-1.745,-2.877,-0.334,0.536,7.903,-0.609,357.47,24.7,21927.0,3380.0,762,1376.58,18947.0,5308.859999999999,2914
